,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_Med_cycB1_cyto,0.05140610222632825,0.16168668848767176,0.9945414898773652,0.3407133474222677
Int_Med_cycB1_ring,0.05140610222632825,0.16168668848767176,0.9945414898773652,0.3407133474222677
Int_Med_cycB1_cell,0.052086909615799835,0.16379038997742246,0.9945846847380976,0.3306251249920756
Int_Med_cycA_nuc,0.05393873511049926,0.12049991158457377,0.9939397219563322,0.24191455616653215
Int_Med_Skp2_nuc,0.06530740201368336,0.214828189436031,0.995013288295152,0.3410978209592319
Int_Med_pRB_nuc,0.07231667625443584,0.20501150025596984,0.996999322330696,0.7178387896601643
Int_Std_PCNA_nuc,0.09127302229132886,0.23551755338294397,0.997570073467168,0.5536411686535042
Int_Intg_DNA_nuc,0.099178314839856,0.23994926671358127,0.9950951276961892,0.27919881721372697
Int_MeanEdge_cycB1_cell,0.11573446099189957,0.3453250198796044,0.9960968825746961,0.4598100814630324
Int_Med_CDK2_nuc,0.13127690170227305,0.33469476662084413,0.9957954198137877,0.5765022164536144
Int_Med_pH2AX_nuc,0.1335243406400618,0.2991871894221149,0.9962688301514168,0.4545487587401567
Int_Med_cycB1_nuc,0.1871764433334504,0.46425625064077913,0.9962441542545265,0.5619144775125837
Int_Med_p21_nuc,0.32283156838732396,0.4541830156329688,0.9993043457477557,0.727031998850402
Int_Med_RB_nuc,0.38569265770465844,0.6281755468900687,0.9983140888289848,0.8907870657903288
AreaShape_Area_nuc,0.4104312285195078,0.6392308861888458,0.9984626404408312,0.6365683923683823
Int_Med_E2F1_nuc,0.4275084380136274,0.5276493519622221,0.9987135056530081,0.6653639122488508
Int_Med_cycA_ring,0.4324884299133089,0.6253589577168277,0.9972267664401926,0.622969461179855
Int_Med_cycA_cyto,0.4324884299133089,0.6253589577168277,0.9972267664401926,0.622969461179855
Int_Med_cycD1_nuc,0.45319325577173436,0.6075322611245799,0.9997108688796167,0.7495728983949639
Int_Med_pp65_nuc,0.4758372163757833,0.6963657570941489,0.9981203522825347,0.7555630808541858
Int_Med_Cdh1_nuc,0.5243192833662473,0.6934718049082722,0.9997904519632439,0.7685061931493546
Int_Med_Cdt1_nuc,0.5302435945672551,0.6366924817896331,0.999385795819209,0.7884064812967772
Int_Med_pCHK1_nuc,0.5335981800447008,0.7305420508571873,0.9987152552344843,0.8388449556719315
